Product Name,Size,Milk,Whip,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugar (g),Protein (g),Vitamin A (%DV),Vitamin C (%DV),Calcium (%DV),Iron (%DV),Caffeine (mg),Type
,,,,,,,,,,,,,,,,,,,,
Brewed Coffee - Dark Roast,Short,N/A,N/A,236 mL,3,0.1,0,0,0,5,0,0,0,0.3,0%,0%,0%,0%,130,Coffee
Brewed Coffee - Dark Roast,Tall,N/A,N/A,354 mL,4,0.1,0,0,0,10,0,0,0,0.5,0%,0%,0%,0%,193,Coffee
Brewed Coffee - Dark Roast,Grande,N/A,N/A,473 mL,5,0.1,0,0,0,10,0,0,0,1,0%,0%,0%,0%,260,Coffee
Brewed Coffee - Dark Roast,Venti®,N/A,N/A,591 mL,5,0.1,0,0,0,10,0,0,0,1,0%,0%,2%,0%,340,Coffee
Brewed Coffee Traveler - Dark Roast,1 - 236 mL serving,N/A,N/A,236 mL,3,0.1,0,0,0,5,0,0,0,0.3,0%,0%,0%,0%,130,Coffee
Brewed Coffee - Decaf Pike Place® Roast,Short,N/A,N/A,236 mL,3,0.1,0,0,0,5,0,0,0,0.3,0%,0%,0%,0%,15,Coffee
Brewed Coffee - Decaf Pike Place® Roast,Tall,N/A,N/A,354 mL,4,0.1,0,0,0,10,0,0,0,0.5,0%,0%,0%,0%,20,Coffee
Brewed Coffee - Decaf Pike Place® Roast,Grande,N/A,N/A,473 mL,5,0.1,0,0,0,10,0,0,0,1,0%,0%,0%,0%,25,Coffee
Brewed Coffee - Decaf Pike Place® Roast,Venti®,N/A,N/A,591 mL,5,0.1,0,0,0,10,0,0,0,1,0%,0%,0%,0%,30,Coffee
Brewed Coffee Traveler - Decaf Pike Place® Roast,1 - 236 mL serving,N/A,N/A,236 mL,3,0.1,0,0,0,5,0,0,0,0.3,0%,0%,0%,0%,15,Coffee
Brewed Coffee - Medium Roast,Short,N/A,N/A,236 mL,3,0.1,0,0,0,5,0,0,0,0.3,0%,0%,0%,0%,155,Coffee
Brewed Coffee - Medium Roast,Tall,N/A,N/A,354 mL,4,0.1,0,0,0,10,0,0,0,0.5,0%,0%,0%,0%,235,Coffee
Brewed Coffee - Medium Roast,Grande,N/A,N/A,473 mL,5,0.1,0,0,0,10,0,0,0,1,0%,0%,0%,0%,310,Coffee
Brewed Coffee - Medium Roast,Venti®,N/A,N/A,591 mL,5,0.1,0,0,0,10,0,0,0,1,0%,0%,2%,0%,410,Coffee
Brewed Coffee Traveler - Medium Roast,1 - 236 mL serving,N/A,N/A,236 mL,3,0.1,0,0,0,5,0,0,0,0.3,0%,0%,0%,0%,155,Coffee
Brewed Coffee - True North Blend Blonde Roast,Short,N/A,N/A,236 mL,3,0.1,0,0,0,5,0,0,0,0.3,0%,0%,0%,0%,180,Coffee
Brewed Coffee - True North Blend Blonde Roast,Tall,N/A,N/A,354 mL,4,0.1,0,0,0,10,0,0,0,0.5,0%,0%,0%,0%,270,Coffee
Brewed Coffee - True North Blend Blonde Roast,Grande,N/A,N/A,473 mL,5,0.1,0,0,0,10,0,0,0,1,0%,0%,0%,0%,360,Coffee
Brewed Coffee - True North Blend Blonde Roast,Venti®,N/A,N/A,591 mL,5,0.1,0,0,0,10,0,0,0,1,0%,0%,2%,0%,475,Coffee
Brewed Coffee Traveler - True North Blend Blonde Roast,1 - 236 mL serving,N/A,N/A,236 mL,3,0.1,0,0,0,5,0,0,0,0.3,0%,0%,0%,0%,180,Coffee
Caffè Misto,Short,Nonfat,N/A,236 mL,35,0.1,0.1,0,0,45,5,0,5,4,6%,0%,10%,0%,75,Coffee
Caffè Misto,Short,2%,N/A,236 mL,50,2,1,0.1,10,50,5,0,5,4,6%,0%,10%,0%,75,Coffee
Caffè Misto,Short,Whole,N/A,236 mL,70,3.5,2,0.1,10,50,5,0,5,3,4%,0%,10%,0%,75,Coffee
Caffè Misto,Short,Soy,N/A,236 mL,40,1.5,0.2,0,0,40,3,0,2,3,4%,0%,10%,6%,75,Coffee
Caffè Misto,Short,Coconut,N/A,236 mL,40,2.5,2.5,0,0,45,4,0,3,0.4,0%,0%,0%,0%,75,Coffee
Caffè Misto,Tall,Nonfat,N/A,354 mL,60,0.2,0.1,0,5,70,8,0,8,6,10%,0%,20%,0%,115,Coffee
Caffè Misto,Tall,2%,N/A,354 mL,80,3,1.5,0.1,15,80,8,0,8,5,8%,0%,20%,0%,115,Coffee
Caffè Misto,Tall,Whole,N/A,354 mL,100,5,3,0.2,15,70,8,0,8,5,8%,0%,15%,0%,115,Coffee
Caffè Misto,Tall,Soy,N/A,354 mL,60,2.5,0.3,0,0,60,5,1,4,4,6%,0%,20%,8%,115,Coffee
Caffè Misto,Tall,Coconut,N/A,354 mL,60,3.5,3.5,0,0,70,6,0,5,1,0%,0%,0%,0%,115,Coffee
Caffè Misto,Grande,Nonfat,N/A,473 mL,70,0.2,0.1,0,5,90,10,0,10,7,15%,0%,25%,0%,150,Coffee
Caffè Misto,Grande,2%,N/A,473 mL,110,4,2,0.1,15,100,10,0,10,7,10%,0%,25%,0%,150,Coffee
Caffè Misto,Grande,Whole,N/A,473 mL,130,7,4,0.2,20,95,10,0,10,7,10%,0%,20%,0%,150,Coffee
Caffè Misto,Grande,Soy,N/A,473 mL,80,3,0.4,0,0,80,6,1,5,6,8%,0%,25%,10%,150,Coffee
Caffè Misto,Grande,Coconut,N/A,473 mL,70,4.5,4.5,0,0,90,7,0,7,1,0%,0%,0%,0%,150,Coffee
Caffè Misto,Venti®,Nonfat,N/A,591 mL,90,0.3,0.2,0,5,115,13,0,13,9,15%,0%,30%,0%,195,Coffee
Caffè Misto,Venti®,2%,N/A,591 mL,130,5,2.5,0.2,20,130,13,0,13,9,15%,0%,30%,0%,195,Coffee
Caffè Misto,Venti®,Whole,N/A,591 mL,160,9,5,0.3,25,120,13,0,13,9,10%,0%,25%,0%,195,Coffee
Caffè Misto,Venti®,Soy,N/A,591 mL,100,4,0.5,0,0,100,8,1,6,7,10%,0%,30%,15%,195,Coffee
Caffè Misto,Venti®,Coconut,N/A,591 mL,80,5,4.5,0,0,90,7,0,7,1,0%,0%,0%,0%,195,Coffee
Clover® Brewed Coffee - Dark Roast,Short,N/A,N/A,236 mL,10,0,0,0,0,5,0,0,0,0,0%,0%,0%,0%,190,Coffee
Clover® Brewed Coffee - Dark Roast,Tall,N/A,N/A,354 mL,10,0,0,0,0,10,0,0,0,0,0%,0%,0%,0%,280,Coffee
Clover® Brewed Coffee - Dark Roast,Grande,N/A,N/A,473 mL,10,0,0,0,0,10,0,0,0,1,0%,0%,0%,0%,380,Coffee
Clover® Brewed Coffee - Dark Roast,Venti®,N/A,N/A,591 mL,10,0,0,0,0,10,0,0,0,1,0%,0%,0%,0%,470,Coffee
Clover® Brewed Coffee - Light Roast,Short,N/A,N/A,236 mL,10,0,0,0,0,5,0,0,0,0,0%,0%,0%,0%,155,Coffee
Clover® Brewed Coffee - Light Roast,Tall,N/A,N/A,354 mL,10,0,0,0,0,10,0,0,0,0,0%,0%,0%,0%,255,Coffee
Clover® Brewed Coffee - Light Roast,Grande,N/A,N/A,473 mL,10,0,0,0,0,10,0,0,0,1,0%,0%,0%,0%,340,Coffee
Clover® Brewed Coffee - Light Roast,Venti®,N/A,N/A,591 mL,10,0,0,0,0,10,0,0,0,1,0%,0%,0%,0%,425,Coffee
Clover® Brewed Coffee - Medium Roast,Short,N/A,N/A,236 mL,10,0,0,0,0,5,0,0,0,0,0%,0%,0%,0%,170,Coffee
Clover® Brewed Coffee - Medium Roast,Tall,N/A,N/A,354 mL,10,0,0,0,0,10,0,0,0,0,0%,0%,0%,0%,280,Coffee
Clover® Brewed Coffee - Medium Roast,Grande,N/A,N/A,473 mL,10,0,0,0,0,10,0,0,0,1,0%,0%,0%,0%,375,Coffee
Clover® Brewed Coffee - Medium Roast,Venti®,N/A,N/A,591 mL,10,0,0,0,0,10,0,0,0,1,0%,0%,0%,0%,445,Coffee
Iced Coffee,Tall,N/A,N/A,354 mL,60,0,0,0,0,10,15,0,15,0.2,0%,0%,0%,0%,120,Coffee
Iced Coffee,Grande,N/A,N/A,473 mL,80,0.1,0,0,0,10,20,0,20,0.3,0%,0%,2%,0%,165,Coffee
Iced Coffee,Venti®,N/A,N/A,709 mL,120,0.1,0,0,0,15,30,0,30,0.4,0%,0%,2%,0%,235,Coffee
Iced Coffee,Trenta,N/A,N/A,887 mL,160,0.1,0,0,0,15,40,0,39,1,0%,0%,2%,0%,280,Coffee
Iced Coffee with Milk,Tall,Nonfat,N/A,354 mL,80,0.1,0,0,0,30,17,0,17,2,2%,0%,6%,0%,90,Coffee
Iced Coffee with Milk,Tall,2%,N/A,354 mL,80,1,0.5,0,5,30,17,0,17,2,2%,0%,6%,0%,90,Coffee
Iced Coffee with Milk,Tall,Whole,N/A,354 mL,90,1.5,1,0,5,30,17,0,17,2,2%,0%,6%,0%,90,Coffee
Iced Coffee with Milk,Tall,Soy,N/A,354 mL,80,1,0.1,0,0,25,16,0,16,2,2%,0%,6%,2%,90,Coffee
Iced Coffee with Milk,Tall,Coconut,N/A,354 mL,80,1,1,0,0,25,17,0,16,0.3,0%,0%,0%,0%,110,Coffee
Iced Coffee with Milk,Grande,Nonfat,N/A,473 mL,100,0.1,0,0,0,35,23,0,23,2,4%,0%,8%,0%,125,Coffee
Iced Coffee with Milk,Grande,2%,N/A,473 mL,110,1.5,1,0.1,5,40,23,0,23,2,4%,0%,8%,0%,125,Coffee
Iced Coffee with Milk,Grande,Whole,N/A,473 mL,120,2,1,0.1,5,35,23,0,23,2,2%,0%,8%,0%,125,Coffee
Iced Coffee with Milk,Grande,Soy,N/A,473 mL,110,1,0.1,0,0,35,22,0,21,2,2%,0%,8%,4%,125,Coffee
Iced Coffee with Milk,Grande,Coconut,N/A,473 mL,100,1.5,1.5,0,0,35,22,0,22,0.4,0%,0%,0%,0%,150,Coffee
Iced Coffee with Milk,Venti®,Nonfat,N/A,709 mL,160,0.1,0.1,0,0,60,35,0,35,4,6%,0%,15%,0%,170,Coffee
Iced Coffee with Milk,Venti®,2%,N/A,709 mL,170,2,1.5,0.1,10,65,35,0,35,4,6%,0%,15%,0%,170,Coffee
Iced Coffee with Milk,Venti®,Whole,N/A,709 mL,190,3.5,2,0.1,10,60,35,0,35,4,4%,0%,10%,0%,170,Coffee
Iced Coffee with Milk,Venti®,Soy,N/A,709 mL,160,1.5,0.2,0,0,55,33,0,32,3,4%,0%,15%,6%,170,Coffee
Iced Coffee with Milk,Venti®,Coconut,N/A,709 mL,160,2.5,2,0,0,55,33,0,33,1,0%,0%,2%,0%,205,Coffee
Iced Coffee with Milk,Trenta,Nonfat,N/A,887 mL,210,0.2,0.1,0,5,70,46,0,46,5,8%,0%,15%,0%,190,Coffee
Iced Coffee with Milk,Trenta,2%,N/A,887 mL,230,3,1.5,0.1,10,80,46,0,46,5,8%,0%,15%,0%,190,Coffee
Iced Coffee with Milk,Trenta,Whole,N/A,887 mL,240,4.5,2.5,0.1,15,75,46,0,46,5,6%,0%,15%,0%,190,Coffee
Iced Coffee with Milk,Trenta,Soy,N/A,887 mL,220,2,0.3,0,0,65,44,1,43,4,6%,0%,15%,8%,190,Coffee
Iced Coffee with Milk,Trenta,Coconut,N/A,887 mL,210,3,3,0,0,70,44,0,44,1,0%,0%,2%,0%,190,Coffee
Cold Brewed Coffee,Tall,N/A,N/A,354 mL,2,0,0,0,0,10,0,0,0,0.1,0%,0%,0%,0%,150,Coffee
Cold Brewed Coffee,Grande,N/A,N/A,473 mL,3,0,0,0,0,15,0,0,0,0.2,0%,0%,2%,0%,200,Coffee
Cold Brewed Coffee,Venti®,N/A,N/A,709 mL,4,0,0,0,0,20,0,0,0,0.3,0%,0%,2%,0%,300,Coffee
Cold Brewed Coffee,Trenta,N/A,N/A,887 mL,5,0,0,0,0,25,0,0,0,0.3,0%,0%,2%,0%,330,Coffee
Vanilla Sweet Cream Cold Brew,Tall,N/A,N/A,354 mL,100,6,3.5,0.2,20,20,12,0,12,1,6%,0%,2%,0%,140,Coffee
Vanilla Sweet Cream Cold Brew,Grande,N/A,N/A,473 mL,110,6,3.5,0.2,20,25,14,0,14,1,6%,0%,4%,0%,185,Coffee
Vanilla Sweet Cream Cold Brew,Venti®,N/A,N/A,709 mL,200,11,7,0.3,40,40,24,0,24,1,15%,0%,6%,0%,275,Coffee
Vanilla Sweet Cream Cold Brew,Trenta,N/A,N/A,887 mL,210,11,7,0.3,40,45,26,0,26,2,15%,0%,6%,0%,320,Coffee
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Caffè Americano,Short,N/A,N/A,236 mL,5,0,0,0,0,5,1,0,0,0,0%,0%,0%,0%,75,Espresso
Caffè Americano,Tall,N/A,N/A,354 mL,10,0,0,0,0,10,2,0,0,1,0%,0%,2%,0%,150,Espresso
Caffè Americano,Grande,N/A,N/A,473 mL,15,0,0,0,0,15,3,0,0,1,0%,0%,2%,0%,225,Espresso
Caffè Americano,Venti®,N/A,N/A,591 mL,25,0,0,0,0,15,4,0,0,1,0%,0%,2%,0%,300,Espresso
Iced Caffè Americano,Tall,N/A,N/A,354 mL,10,0,0,0,0,10,2,0,0,1,0%,0%,2%,0%,150,Espresso
Iced Caffè Americano,Grande,N/A,N/A,473 mL,15,0,0,0,0,15,3,0,0,1,0%,0%,2%,0%,225,Espresso
Iced Caffè Americano,Venti®,N/A,N/A,709 mL,25,0,0,0,0,20,4,0,0,1,0%,0%,2%,0%,300,Espresso
Caffè Latte,Short,Nonfat,N/A,236 mL,70,0.1,0.1,0,5,75,10,0,9,6,10%,0%,20%,0%,75,Espresso
Caffè Latte,Short,2%,N/A,236 mL,100,3.5,2.5,0.2,15,85,10,0,9,6,10%,0%,20%,0%,75,Espresso
Caffè Latte,Short,Whole,N/A,236 mL,110,6,3.5,0.2,20,75,10,0,9,6,8%,0%,20%,0%,75,Espresso
Caffè Latte,Short,Soy,N/A,236 mL,70,2.5,0.4,0,0,65,6,1,4,5,6%,0%,20%,8%,75,Espresso
Caffè Latte,Short,Coconut,N/A,236 mL,70,4,4,0,0,75,7,0,6,1,0%,0%,0%,0%,75,Espresso
Caffè Latte,Tall,Nonfat,N/A,354 mL,100,0.2,0.2,0,5,120,15,0,14,10,15%,0%,30%,0%,75,Espresso
Caffè Latte,Tall,2%,N/A,354 mL,150,6,3.5,0.2,25,135,15,0,14,10,15%,0%,30%,0%,75,Espresso
Caffè Latte,Tall,Whole,N/A,354 mL,180,9,5,0.3,30,125,15,0,14,9,15%,0%,30%,0%,75,Espresso
Caffè Latte,Tall,Soy,N/A,354 mL,110,4.5,0.5,0,0,105,10,1,6,8,10%,0%,30%,15%,75,Espresso
Caffè Latte,Tall,Coconut,N/A,354 mL,110,7,6,0,0,120,11,0,10,1,0%,0%,0%,0%,75,Espresso
Caffè Latte,Grande,Nonfat,N/A,473 mL,130,0.3,0.2,0,5,150,19,0,18,13,20%,0%,40%,0%,150,Espresso
Caffè Latte,Grande,2%,N/A,473 mL,190,7,4.5,0.3,30,170,19,0,17,12,20%,2%,40%,0%,150,Espresso
Caffè Latte,Grande,Whole,N/A,473 mL,230,11,7,0.3,35,150,19,0,17,12,15%,0%,35%,0%,150,Espresso
Caffè Latte,Grande,Soy,N/A,473 mL,150,5,0.5,0,0,130,13,1,8,10,15%,0%,40%,15%,150,Espresso
Caffè Latte,Grande,Coconut,N/A,473 mL,140,8,8,0,0,150,14,0,12,1,0%,0%,0%,0%,150,Espresso
Caffè Latte,Venti®,Nonfat,N/A,591 mL,170,0.4,0.3,0,10,190,25,0,23,16,30%,0%,50%,0%,150,Espresso
Caffè Latte,Venti®,2%,N/A,591 mL,240,9,6,0.4,35,220,24,0,22,16,25%,2%,50%,0%,150,Espresso
Caffè Latte,Venti®,Whole,N/A,591 mL,290,15,9,0.5,45,200,24,0,22,15,20%,0%,50%,0%,150,Espresso
Caffè Latte,Venti®,Soy,N/A,591 mL,190,7,1,0,0,170,16,2,11,13,20%,0%,50%,25%,150,Espresso
Caffè Latte,Venti®,Coconut,N/A,591 mL,170,11,10,0,0,200,18,0,16,2,0%,0%,0%,0%,150,Espresso
Iced Caffè Latte,Tall,Nonfat,N/A,354 mL,70,0.1,0.1,0,5,80,10,0,9,6,10%,0%,20%,0%,75,Espresso
Iced Caffè Latte,Tall,2%,N/A,354 mL,100,3.5,2,0.1,15,90,10,0,9,6,10%,0%,20%,0%,75,Espresso
Iced Caffè Latte,Tall,Whole,N/A,354 mL,120,6,3.5,0.2,20,85,10,0,9,6,8%,0%,20%,0%,75,Espresso
Iced Caffè Latte,Tall,Soy,N/A,354 mL,80,3,0.4,0,0,75,7,1,4,5,8%,0%,20%,10%,75,Espresso
Iced Caffè Latte,Tall,Coconut,N/A,354 mL,70,4,4,0,0,80,7,0,6,1,0%,0%,0%,0%,75,Espresso
Iced Caffè Latte,Grande,Nonfat,N/A,473 mL,90,0.2,0.1,0,5,105,13,0,11,8,15%,0%,25%,0%,150,Espresso
Iced Caffè Latte,Grande,2%,N/A,473 mL,130,4.5,2.5,0.1,20,115,13,0,11,8,15%,0%,25%,0%,150,Espresso
Iced Caffè Latte,Grande,Whole,N/A,473 mL,150,7,4.5,0.2,25,105,13,0,11,8,10%,0%,25%,0%,150,Espresso
Iced Caffè Latte,Grande,Soy,N/A,473 mL,100,3.5,0.5,0,0,95,9,1,5,7,10%,0%,25%,10%,150,Espresso
Iced Caffè Latte,Grande,Coconut,N/A,473 mL,90,5,5,0,0,105,10,0,8,1,0%,0%,0%,0%,150,Espresso
Iced Caffè Latte,Venti®,Nonfat,N/A,709 mL,130,0.3,0.2,0,5,140,19,0,16,12,20%,0%,35%,0%,225,Espresso
Iced Caffè Latte,Venti®,2%,N/A,709 mL,180,6,3,0.2,25,160,18,0,15,12,20%,2%,35%,0%,225,Espresso
Iced Caffè Latte,Venti®,Whole,N/A,709 mL,210,10,6,0.3,30,150,18,0,15,11,15%,0%,35%,0%,225,Espresso
Iced Caffè Latte,Venti®,Soy,N/A,709 mL,150,5,0.5,0,0,130,13,1,8,10,15%,0%,40%,15%,225,Espresso
Iced Caffè Latte,Venti®,Coconut,N/A,709 mL,130,7,7,0,0,150,14,0,11,2,0%,0%,2%,0%,225,Espresso
Caffè Mocha,Short,Nonfat,No Whip,236 mL,120,1.5,1,0,5,65,21,2,17,7,8%,0%,15%,15%,90,Espresso
Caffè Mocha,Short,Nonfat,Whip,236 mL,180,6,4,0.2,20,70,23,2,18,7,15%,0%,20%,15%,90,Espresso
Caffè Mocha,Short,2%,No Whip,236 mL,150,4,2.5,0.1,10,70,21,2,17,7,8%,0%,15%,15%,90,Espresso
Caffè Mocha,Short,2%,Whip,236 mL,200,9,6,0.3,30,75,22,2,18,7,15%,0%,20%,15%,90,Espresso
Caffè Mocha,Short,Whole,No Whip,236 mL,160,6,3.5,0.1,15,65,21,2,17,6,6%,0%,15%,15%,90,Espresso
Caffè Mocha,Short,Whole,Whip,236 mL,210,11,7,0.3,35,70,22,2,18,7,15%,0%,15%,15%,90,Espresso
Caffè Mocha,Short,Soy,No Whip,236 mL,130,3.5,1,0,0,55,18,3,13,6,6%,0%,15%,25%,90,Espresso
Caffè Mocha,Short,Soy,Whip,236 mL,180,9,4,0.2,20,60,20,3,14,6,10%,0%,20%,25%,90,Espresso
Caffè Mocha,Short,Coconut,No Whip,236 mL,130,4.5,4,0,0,65,19,2,15,2,0%,0%,0%,15%,90,Espresso
Caffè Mocha,Short,Coconut,Whip,236 mL,180,10,7,0.2,20,70,21,2,16,2,6%,0%,2%,15%,90,Espresso
Caffè Mocha,Tall,Nonfat,No Whip,354 mL,190,2,1,0,5,100,32,3,27,10,15%,0%,30%,25%,95,Espresso
Caffè Mocha,Tall,Nonfat,Whip,354 mL,250,8,5,0.2,25,110,34,3,28,11,20%,0%,30%,25%,95,Espresso
Caffè Mocha,Tall,2%,No Whip,354 mL,230,6,4,0.2,20,115,32,3,26,10,15%,0%,25%,25%,95,Espresso
Caffè Mocha,Tall,2%,Whip,354 mL,290,13,8,0.4,40,120,34,3,28,11,20%,2%,30%,25%,95,Espresso
Caffè Mocha,Tall,Whole,No Whip,354 mL,250,9,6,0.2,25,105,32,3,26,10,10%,0%,25%,25%,95,Espresso
Caffè Mocha,Tall,Whole,Whip,354 mL,310,16,9,0.4,45,110,34,3,28,10,20%,0%,25%,25%,95,Espresso
Caffè Mocha,Tall,Soy,No Whip,354 mL,200,5,1.5,0,0,90,28,4,20,9,10%,0%,25%,35%,95,Espresso
Caffè Mocha,Tall,Soy,Whip,354 mL,260,11,5,0.2,25,95,30,4,22,9,15%,0%,30%,35%,95,Espresso
Caffè Mocha,Tall,Coconut,No Whip,354 mL,190,7,6,0,0,105,29,3,23,3,0%,0%,2%,25%,95,Espresso
Caffè Mocha,Tall,Coconut,Whip,354 mL,250,13,10,0.2,25,110,30,3,25,3,6%,0%,2%,25%,95,Espresso
Caffè Mocha,Grande,Nonfat,No Whip,473 mL,250,2.5,1.5,0,5,125,42,4,34,13,20%,0%,35%,35%,175,Espresso
Caffè Mocha,Grande,Nonfat,Whip,473 mL,320,10,6,0.2,30,135,44,4,36,14,25%,0%,35%,35%,175,Espresso
Caffè Mocha,Grande,2%,No Whip,473 mL,290,8,5,0.2,25,140,42,4,34,13,15%,2%,35%,35%,175,Espresso
Caffè Mocha,Grande,2%,Whip,473 mL,360,15,9,0.5,50,150,44,4,35,13,25%,2%,35%,35%,175,Espresso
Caffè Mocha,Grande,Whole,No Whip,473 mL,330,12,7,0.3,30,130,42,4,34,13,15%,0%,30%,35%,175,Espresso
Caffè Mocha,Grande,Whole,Whip,473 mL,400,19,11,0.5,55,135,44,4,35,13,20%,0%,35%,35%,175,Espresso
Caffè Mocha,Grande,Soy,No Whip,473 mL,260,7,2,0,0,110,37,5,26,11,10%,0%,35%,50%,175,Espresso
Caffè Mocha,Grande,Soy,Whip,473 mL,330,14,6,0.2,25,115,39,5,28,12,20%,0%,35%,50%,175,Espresso
Caffè Mocha,Grande,Coconut,No Whip,473 mL,250,9,8,0,0,130,38,4,30,4,0%,0%,2%,35%,175,Espresso
Caffè Mocha,Grande,Coconut,Whip,473 mL,320,16,12,0.2,25,135,40,4,32,4,8%,0%,2%,35%,175,Espresso
Caffè Mocha,Venti®,Nonfat,No Whip,591 mL,310,3.5,2,0,10,170,54,5,44,17,25%,0%,45%,40%,185,Espresso
Caffè Mocha,Venti®,Nonfat,Whip,591 mL,390,10,6,0.2,35,170,56,5,45,18,30%,0%,45%,40%,185,Espresso
Caffè Mocha,Venti®,2%,No Whip,591 mL,380,11,7,0.3,30,190,53,5,43,17,20%,2%,45%,40%,185,Espresso
Caffè Mocha,Venti®,2%,Whip,591 mL,450,18,11,0.5,55,190,55,5,45,17,30%,2%,45%,40%,185,Espresso
Caffè Mocha,Venti®,Whole,No Whip,591 mL,420,16,9,0.4,40,170,53,5,43,16,20%,0%,40%,40%,185,Espresso
